"SKILL_CODE","CHANNEL","KEYWORDS","ACTION_TYPE","JUMP_TARGET","MCP_PARAMS","EXTRA_PARAMS","CREATED_AT","UPDATED_AT","NAME"
bjs_auth_open,JZYY,"- ""北交所权限""
- ""开北交所""
- ""北交所""
- ""北交所新三板""
- ""北交所联合开通""
- ""新三板北交所""
- ""开四类合格投资者权限""
- ""新三板权限""
- ""四类权限""",JUMP,"21749",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,北交所及新三板联合权限开通
bond_general_corporate_auth,JZYY,"- ""普通投资者公司债""
- ""企业债权限""
- ""债券普户""",JUMP,"21503",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,债券普通投资者公司债企业债权限限制
bond_professional_auth,JZYY,"- ""债券专业投资者""
- ""债券专户""
- ""债券专业户""",JUMP,"20273",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,债券专业投资者开通
bond_professional_cancel_auth,JZYY,"- ""取消债券专户""
- ""关闭债券专业户""
- ""停用债券专户""",JUMP,"20274",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,债券专业投资者取消
bse_bond_general_auth,JZYY,"- ""北交所债券普户""
- ""北交所普通债权限""",JUMP,"21760",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,北交所债券普通投资者权限
bse_neeq_cancel_auth,JZYY,"- ""取消北交所权限""
- ""关闭新三板权限""
- ""停用北交所新三板""
- ""取消四类合格投资者权限""",JUMP,"20265",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,北交所及新三板权限取消
convertible_bond_auth,JZYY,"- ""非定向可转债""
- ""非定向转债权限""
- ""可转债""",JUMP,"20909",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,非定向可转债业务权限设置
credit_bond_professional_auth,JZYY,"- ""信用债券专业户""
- ""信用专债权限""
- ""两融债券专户""",JUMP,"21502",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,信用债券专业投资者开通
credit_register_grow_auth,JZYY,"- ""信用账户创业板""
- ""信用创业板""
- ""两融创业板""",JUMP,"20718",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,信用创业板开通
delisted_confirmation_auth,JZYY,"- ""退市确权""
- ""确权申报""
- ""退市板块确权""",JUMP,"50212",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,退市板块普通确权申报
delisting_prep_auth,JZYY,"- ""退市整理权限""
- ""退市股买入""
- ""整理期权限""",JUMP,"20167",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,退市整理期证券买入权限设置
gem_auth_open,JZYY,"- ""开通创业板""
- ""创业板开通""
- ""创业板权限""
- ""创业板权限开通""
- ""创业板转签""",JUMP,"20251",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,创业板开通
growth_tier_perms_setting,JZYY,"- ""科创成长层""
- ""成长层开通""
- ""北交所权限""",JUMP,"21888",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,科创成长层权限设置
hk_stock_connect_permission,JZYY,"- ""港股通权限开通""
- ""港股通权限""
- ""港股通""
- ""开通港股通""
- ""开通沪港通""",JUMP,"20217",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,港股通权限开通
hk_stock_connect_permission_cancel,JZYY,"- ""取消港股通""
- ""关闭港股通""
- ""停用港股通""",JUMP,"20218",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,港股通权限取消
organ_unified_permission_setting,JZYY,"- ""联合权限设置""
- ""机构权限设置""
- ""一起设置权限""
- ""联合开通""
- ""权限打包""
- ""多权限开通""
- ""一键开通权限""
- ""一次性开多个权限""",JUMP,"20391",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,机构联合权限设置
otc_auth,JZYY,"- ""OTC权限""
- ""柜台交易""
- ""柜台产品权限""",JUMP,"20165",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,OTC柜台交易权限设置
preferred_stock_auth,JZYY,"- ""优先股权限""
- ""开通优先股""
- ""优先股交易""",JUMP,"20163",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,优先股交易权限设置
private_asset_mgmt_permission,JZYY,"- ""私募资管产品合格投资者设置""
- ""私募资管产品合格投资者""
- ""私募资管合格投资者权限""
- ""私募资管合格投资者""
- ""私募资管""
- ""合格投资者""
- ""私募资管资格""
- ""私募合格户""",JUMP,"20185",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,私募资管合格投资者权限
private_equity_investor_status,JZYY,"- ""私募基金产品合格投资者设置""
- ""私募基金合格投资者""
- ""私募合格投资者设置""
- ""私募基金产品投资者""
- ""私募产品合格投资者""
- ""私募投资者设置""",JUMP,"20084",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,私募基金产品合格投资者设置
reverse_repo_auth,JZYY,"- ""通用回购逆回购资质设置""
- ""逆回购开通""
- ""逆回购权限""
- ""债券逆回购""
- ""实时盈""
- ""回购逆回购资质""",JUMP,"20096",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,通用回购逆回购资质设置
risk_warning_auth,JZYY,"- ""风险警示权限""
- ""ST股买入权限""
- ""警示股票开通""
- ""ST股票交易权限开通""",JUMP,"20171",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,风险警示证券买入权限设置
st_stock_limit_auth,JZYY,"- ""ST交易限制""
- ""ST买入比例""
- ""ST股限额""",JUMP,"20768",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,ST股票交易比列设置
star_market_permission,JZYY,"- ""科创板权限设置""
- ""科创板权限""
- ""科创板""
- ""开通科创板""
- ""科创板开通""",JUMP,"20383",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,科创板权限设置
